interaction_id,timestamp,hotel_id,channel,language,request_type,complexity
INT2025_04_0001,01/04/2025 07:22,hotel_01,email,NO,info,simple
INT2025_04_0002,01/04/2025 08:01,hotel_03,website_chat,EN,booking,complex
INT2025_04_0003,02/04/2025 09:14,hotel_05,website_chat,NO,service_request,simple
INT2025_04_0004,02/04/2025 10:36,hotel_07,instagram,EN,complaint,complex
INT2025_04_0005,03/04/2025 11:49,hotel_02,email,NO,check_in,simple
INT2025_04_0006,03/04/2025 11:49,hotel_02,email,NO,check_in,simple
INT2025_04_0007,04/04/2025 13:31,hotel_10,facebook,EN,spa_reservation,complex
INT2025_04_0008,05/04/2025 14:08,hotel_09,website_chat,NO,technical_issue,complex
INT2025_04_0009,06/04/2025 16:19,hotel_12,website_chat,EN,info,simple
INT2025_04_0010,07/04/2025 18:42,hotel_99,email,NO,booking,complex
INT2025_04_0005,03/04/2025 11:52,hotel_02,email,NO,check_out,simple
INT2025_04_0006,03/04/2025 11:52,hotel_02,email,NO,check_out,simple
INT2025_04_0007,04/04/2025 13:27,hotel_10,facebook,EN,spa_reservation,complex
INT2025_04_0008,05/04/2025 14:09,hotel_09,website_chat,,technical_issue,complex
INT2025_04_0009,06/04/2025 16:41,hotel_99,websit_chat,NO,info,simple
INT2025_04_0010,07/04/2025 18:25,hotel_06,email,EN,booking,complex
INT2025_04_0011,08/04/2025 07:49,hotel_08,facebook,NO,info,simple
INT2025_04_0012,08/04/2025 09:03,hotel_12,email,,booking,complex
INT2025_04_0013,09/04/2025 09:35,hotel_03,website_chat,EN,complaint,medium
INT2025_04_0014,09/04/2025 10:48,hotel_15,instagram,NO,service_request,simple
INT2025_04_0015,10/04/2025 11:40,hotel_99,websit_chat,,check_in,simple
INT2025_04_0016,10/04/2025 12:59,hotel_07,email,EN,info,complex
INT2025_04_0017,11/04/2025 13:44,hotel_02,facebook,NO,spa_reservation,simple
INT2025_04_0018,11/04/2025 14:26,hotel_14,website_chat,EN,technical_issue,complex
INT2025_04_0019,12/04/2025 15:15,hotel_06,instagram,,booking,medium
