interaction_id,timestamp,hotel_id,channel,language,request_type,complexity
INT2025_06_0001,01/06/2025 07:05,hotel_01,email,NO,info,simple
INT2025_06_0002,01/06/2025 08:12,hotel_03,website_chat,EN,booking,complex
INT2025_06_0003,02/06/2025 09:40,hotel_05,website_chat,NO,service_request,simple
INT2025_06_0004,02/06/2025 10:58,hotel_07,instagram,EN,complaint,complex
INT2025_06_0005,03/06/2025 11:21,hotel_02,email,NO,check_in,simple
INT2025_06_0006,03/06/2025 11:21,hotel_02,email,NO,check_in,simple
INT2025_06_0007,04/06/2025 13:52,hotel_10,facebook,EN,spa_reservation,complex
INT2025_06_0008,05/06/2025 14:37,hotel_09,website_chat,NO,technical_issue,complex
INT2025_06_0009,06/06/2025 16:18,hotel_12,website_chat,EN,info,simple
INT2025_06_0010,07/06/2025 19:04,hotel_99,email,NO,booking,complex
INT2025_06_0003,01/06/2025 09:04,hotel_05,website_chat,NO,service_request,simple
INT2025_06_0004,01/06/2025 09:48,hotel_02,email,EN,info,simple
INT2025_06_0005,01/06/2025 10:32,hotel_04,website_chat,EN,booking,complex
INT2025_06_0006,01/06/2025 11:15,hotel_06,email,NO,info,simple
INT2025_06_0007,01/06/2025 11:58,hotel_07,instagram,EN,complaint,complex
INT2025_06_0008,01/06/2025 12:41,hotel_08,website_chat,NO,info,simple
INT2025_06_0009,01/06/2025 13:26,hotel_09,email,NO,service_request,simple
INT2025_06_0010,01/06/2025 14:09,hotel_10,website_chat,EN,booking,complex
INT2025_06_0011,01/06/2025 14:53,hotel_11,facebook,EN,info,simple
INT2025_06_0012,01/06/2025 15:36,hotel_12,email,NO,check_out,simple
INT2025_06_0013,01/06/2025 16:20,hotel_01,website_chat,EN,booking,complex
INT2025_06_0014,01/06/2025 17:03,hotel_02,email,NO,info,simple
INT2025_06_0015,02/06/2025 07:12,hotel_03,website_chat,NO,info,simple
INT2025_06_0016,02/06/2025 07:56,hotel_04,email,EN,booking,complex
INT2025_06_0017,02/06/2025 08:39,hotel_05,website_chat,NO,service_request,simple
INT2025_06_0018,02/06/2025 09:23,hotel_06,email,EN,info,simple
