interaction_id,timestamp,hotel_id,channel,language,request_type,complexity
INT2025_11_0001,01/11/2025 07:08,hotel_02,email,NO,info,simple
INT2025_11_0002,01/11/2025 08:21,hotel_05,website_chat,EN,booking,complex
INT2025_11_0003,02/11/2025 09:36,hotel_07,website_chat,NO,service_request,simple
INT2025_11_0004,02/11/2025 10:55,hotel_01,instagram,EN,complaint,complex
INT2025_11_0005,03/11/2025 12:11,hotel_11,email,NO,check_in,simple
INT2025_11_0006,03/11/2025 12:11,hotel_11,email,NO,check_in,simple
INT2025_11_0007,04/11/2025 14:29,hotel_04,facebook,EN,spa_reservation,complex
INT2025_11_0008,05/11/2025 15:51,hotel_09,website_chat,NO,technical_issue,complex
INT2025_11_0009,06/11/2025 17:19,hotel_06,website_chat,EN,info,simple
INT2025_11_0010,07/11/2025 19:43,hotel_99,email,NO,booking,complex
INT2025_11_0002,01/11/2025 07:52,hotel_05,website_chat,EN,booking,complex
INT2025_11_0003,01/11/2025 08:36,hotel_01,email,NO,info,simple
INT2025_11_0004,01/11/2025 09:20,hotel_07,website_chat,EN,service_request,simple
INT2025_11_0005,01/11/2025 10:04,hotel_03,email,NO,info,simple
INT2025_11_0006,01/11/2025 10:48,hotel_09,website_chat,EN,booking,complex
INT2025_11_0007,01/11/2025 11:32,hotel_04,email,NO,info,simple
INT2025_11_0008,01/11/2025 12:16,hotel_06,website_chat,EN,info,simple
INT2025_11_0009,01/11/2025 13:00,hotel_10,email,NO,info,simple
INT2025_11_0010,01/11/2025 13:44,hotel_08,website_chat,EN,booking,complex
INT2025_11_0011,01/11/2025 14:28,hotel_02,email,NO,info,simple
INT2025_11_0012,01/11/2025 15:12,hotel_11,website_chat,EN,info,simple
INT2025_11_0013,01/11/2025 15:56,hotel_12,email,NO,info,simple
INT2025_11_0014,01/11/2025 16:40,hotel_01,website_chat,EN,booking,complex
INT2025_11_0015,01/11/2025 17:24,hotel_03,email,NO,info,simple
INT2025_11_0016,02/11/2025 07:10,hotel_04,website_chat,EN,info,simple
INT2025_11_0017,02/11/2025 07:54,hotel_05,email,NO,info,simple
INT2025_11_0018,02/11/2025 08:38,hotel_06,website_chat,EN,booking,complex
INT2025_11_0019,02/11/2025 09:22,hotel_07,email,NO,info,simple
INT2025_11_0020,02/11/2025 10:06,hotel_08,website_chat,EN,info,simple
INT2025_11_0021,02/11/2025 10:50,hotel_09,email,NO,info,simple
INT2025_11_0022,02/11/2025 11:34,hotel_10,website_chat,EN,booking,complex
INT2025_11_0023,02/11/2025 12:18,hotel_11,email,NO,info,simple
INT2025_11_0024,02/11/2025 13:02,hotel_12,website_chat,EN,info,simple
INT2025_11_0025,02/11/2025 13:46,hotel_01,email,NO,info,simple
INT2025_11_0026,02/11/2025 14:30,hotel_02,website_chat,EN,booking,complex
INT2025_11_0027,02/11/2025 15:14,hotel_03,email,NO,info,simple
INT2025_11_0028,02/11/2025 15:58,hotel_04,website_chat,EN,info,simple
INT2025_11_0029,02/11/2025 16:42,hotel_05,email,NO,info,simple
INT2025_11_0030,03/11/2025 07:09,hotel_06,website_chat,EN,booking,complex
INT2025_11_0031,03/11/2025 07:53,hotel_07,email,NO,info,simple
INT2025_11_0032,03/11/2025 08:37,hotel_08,website_chat,EN,info,simple
INT2025_11_0033,03/11/2025 09:21,hotel_09,email,NO,info,simple
INT2025_11_0034,03/11/2025 10:05,hotel_10,website_chat,EN,booking,complex
INT2025_11_0035,03/11/2025 10:49,hotel_11,email,NO,info,simple
INT2025_11_0036,03/11/2025 11:33,hotel_12,website_chat,EN,info,simple
INT2025_11_0037,03/11/2025 12:17,hotel_01,email,NO,info,simple
INT2025_11_0038,03/11/2025 13:01,hotel_02,website_chat,EN,service_request,simple
INT2025_11_0039,03/11/2025 13:45,hotel_03,email,NO,info,simple
