interaction_id,handled_by,response_time_s,resolved
INT2025_02_0001,AI,6.8,TRUE
INT2025_02_0002,AI,42.5,TRUE
INT2025_02_0003,AI,8.9,TRUE
INT2025_02_0004,Human,385.2,TRUE
INT2025_02_0005,AI,7.3,TRUE
INT2025_02_0006,Ai,-2,FALSE
INT2025_02_0007,Human,210.4,TRUE
INT2025_02_0008,AI,,FALSE
INT2025_02_0009,Human,640,TRUE
INT2025_02_0010,AI,55,TRUE
INT2025_02_0011,AI,16,TRUE
INT2025_02_0012,AI,24,TRUE
INT2025_02_0013,Human,300,TRUE
INT2025_02_0014,AI,11,TRUE
INT2025_02_0015,Human,420,FALSE
INT2025_02_0016,AI,9,TRUE
INT2025_02_0017,AI,41,TRUE
INT2025_02_0018,Human,360,TRUE
INT2025_02_0019,AI,14,TRUE
INT2025_02_0020,Human,390,TRUE
INT2025_02_0021,AI,19,TRUE
INT2025_02_0022,AI,31,TRUE
INT2025_02_0023,Human,480,FALSE
INT2025_02_0024,AI,13,TRUE
INT2025_02_0025,Human,280,TRUE
INT2025_02_0026,AI,8,TRUE
INT2025_02_0027,AI,50,TRUE
INT2025_02_0028,Human,350,TRUE
INT2025_02_0029,AI,17,TRUE
INT2025_02_0030,Human,540,FALSE
INT2025_02_0031,AI,21,TRUE
INT2025_02_0032,AI,34,TRUE
INT2025_02_0033,Human,410,TRUE
INT2025_02_0034,AI,15,TRUE
INT2025_02_0035,Human,300,TRUE
INT2025_02_0036,AI,10,TRUE
INT2025_02_0037,AI,47,TRUE
INT2025_02_0038,Human,500,FALSE
INT2025_02_0039,AI,18,TRUE
INT2025_02_0040,Human,360,TRUE
INT2025_02_0041,AI,22,TRUE
INT2025_02_0042,AI,36,TRUE
INT2025_02_0043,Human,430,TRUE
INT2025_02_0044,AI,14,TRUE
INT2025_02_0045,Human,600,FALSE
INT2025_02_0046,AI,9,TRUE
INT2025_02_0047,AI,52,TRUE
INT2025_02_0048,Human,380,TRUE
INT2025_02_0049,AI,16,TRUE
INT2025_02_0050,Human,420,TRUE
INT2025_02_0051,AI,20,TRUE
INT2025_02_0052,AI,33,TRUE
INT2025_02_0053,Human,460,FALSE
INT2025_02_0054,AI,12,TRUE
INT2025_02_0055,Human,300,TRUE
INT2025_02_0056,AI,8,TRUE
INT2025_02_0057,AI,55,TRUE
INT2025_02_0058,Human,370,TRUE
INT2025_02_0059,AI,17,TRUE
INT2025_02_0060,Human,480,FALSE
INT2025_02_0061,AI,21,TRUE
INT2025_02_0062,AI,35,TRUE
INT2025_02_0063,Human,440,TRUE
INT2025_02_0064,AI,13,TRUE
INT2025_02_0065,Human,320,TRUE
INT2025_02_0066,AI,9,TRUE
INT2025_02_0067,AI,49,TRUE
INT2025_02_0068,Human,510,FALSE
INT2025_02_0069,AI,18,TRUE
INT2025_02_0070,Human,360,TRUE
INT2025_02_0071,AI,23,TRUE
INT2025_02_0072,AI,37,TRUE
INT2025_02_0073,Human,420,TRUE
INT2025_02_0074,AI,15,TRUE
INT2025_02_0075,Human,300,TRUE
INT2025_02_0076,AI,10,TRUE
INT2025_02_0077,AI,53,TRUE
INT2025_02_0078,Human,480,FALSE
INT2025_02_0079,AI,19,TRUE
INT2025_02_0080,Human,390,TRUE
INT2025_02_0081,AI,22,TRUE
INT2025_02_0082,AI,34,TRUE
INT2025_02_0083,Human,450,TRUE
INT2025_02_0084,AI,14,TRUE
INT2025_02_0085,Human,600,FALSE
INT2025_02_0086,AI,9,TRUE
INT2025_02_0087,AI,51,TRUE
INT2025_02_0088,Human,380,TRUE
INT2025_02_0089,AI,17,TRUE
INT2025_02_0090,Human,420,TRUE
INT2025_02_0091,AI,24,TRUE
INT2025_02_0092,AI,36,TRUE
INT2025_02_0093,Human,470,FALSE
INT2025_02_0094,AI,13,TRUE
INT2025_02_0095,Human,300,TRUE
INT2025_02_0096,AI,8,TRUE
INT2025_02_0097,AI,54,TRUE
INT2025_02_0098,Human,520,FALSE
INT2025_02_0099,AI,18,TRUE
INT2025_02_0100,Human,360,TRUE
INT2025_02_0101,AI,25,TRUE
INT2025_02_0102,AI,38,TRUE
INT2025_02_0103,Human,410,TRUE
INT2025_02_0104,AI,15,TRUE
INT2025_02_0105,Human,290,TRUE
INT2025_02_0106,AI,10,TRUE
INT2025_02_0107,AI,56,TRUE
INT2025_02_0108,Human,600,FALSE
