interaction_id,timestamp,hotel_id,channel,language,request_type,complexity
INT2025_02_0001,01/02/2025 07:45,hotel_01,email,NO,info,simple
INT2025_02_0002,01/02/2025 08:10,hotel_03,website_chat,EN,booking,complex
INT2025_02_0003,02/02/2025 09:22,hotel_05,website_chat,NO,service_request,simple
INT2025_02_0004,02/02/2025 10:41,hotel_07,instagram,EN,complaint,complex
INT2025_02_0005,03/02/2025 11:05,hotel_02,email,NO,check_out,simple
INT2025_02_0006,03/02/2025 11:06,hotel_02,email,NO,check_out,simple
INT2025_02_0007,04/02/2025 13:18,hotel_10,facebook,EN,spa_reservation,complex
INT2025_02_0008,05/02/2025 14:55,hotel_99,website_chat,NO,info,simple
INT2025_02_0009,06/02/2025 16:02,hotel_04,websit_chat,EN,technical_issue,complex
INT2025_02_0010,07/02/2025 18:27,hotel_06,email,,booking,complex
INT2025_02_0011,08/02/2025 07:30,hotel_08,facebook,NO,info,simple
INT2025_02_0012,08/02/2025 08:45,hotel_12,email,EN,booking,complex
INT2025_02_0013,09/02/2025 09:15,hotel_03,website_chat,NO,complaint,medium
INT2025_02_0014,09/02/2025 10:30,hotel_15,instagram,EN,service_request,simple
INT2025_02_0015,10/02/2025 11:20,hotel_99,websit_chat,NO,check_in,simple
INT2025_02_0016,10/02/2025 12:40,hotel_07,email,EN,info,complex
INT2025_02_0017,11/02/2025 13:25,hotel_02,facebook,,spa_reservation,simple
INT2025_02_0018,11/02/2025 14:10,hotel_14,website_chat,NO,technical_issue,complex
INT2025_02_0019,12/02/2025 15:55,hotel_06,instagram,EN,booking,medium
INT2025_02_0020,12/02/2025 16:30,hotel_11,email,NO,servce,simple
INT2025_02_0021,13/02/2025 17:00,hotel_04,websit_chat,EN,complaint,complex
INT2025_02_0022,13/02/2025 08:15,hotel_09,facebook,NO,info,simple
INT2025_02_0023,14/02/2025 09:30,hotel_03,email,EN,check_out,medium
INT2025_02_0024,14/02/2025 10:45,hotel_200,website_chat,,booking,simple
INT2025_02_0025,15/02/2025 11:20,hotel_07,instagram,NO,service_request,complex
INT2025_02_0026,15/02/2025 12:35,hotel_05,websit_chat,EN,spa_reservation,simple
INT2025_02_0027,16/02/2025 13:50,hotel_12,facebook,NO,technical_issue,medium
INT2025_02_0028,16/02/2025 14:25,hotel_08,email,EN,info,complex
INT2025_02_0029,17/02/2025 15:10,hotel_02,website_chat,NO,booking,simple
INT2025_02_0030,17/02/2025 16:00,hotel_06,instagram,,complaint,medium
INT2025_02_0031,18/02/2025 07:30,hotel_99,facebook,EN,check_in,complex
INT2025_02_0032,18/02/2025 08:45,hotel_10,email,NO,servce,simple
INT2025_02_0033,19/02/2025 09:15,hotel_04,websit_chat,EN,service_request,medium
INT2025_02_0034,19/02/2025 10:30,hotel_13,website_chat,NO,info,simple
INT2025_02_0035,20/02/2025 11:45,hotel_07,instagram,EN,spa_reservation,complex
INT2025_02_0036,20/02/2025 12:20,hotel_05,facebook,,technical_issue,simple
INT2025_02_0037,21/02/2025 13:35,hotel_11,email,NO,booking,medium
INT2025_02_0038,21/02/2025 14:50,hotel_03,website_chat,EN,check_out,complex
INT2025_02_0039,22/02/2025 15:05,hotel_09,websit_chat,NO,complaint,simple
INT2025_02_0040,22/02/2025 16:20,hotel_06,instagram,EN,info,medium
INT2025_02_0041,23/02/2025 07:10,hotel_02,facebook,NO,servce,complex
INT2025_02_0042,23/02/2025 08:25,hotel_08,email,,booking,simple
INT2025_02_0043,24/02/2025 09:40,hotel_12,website_chat,EN,service_request,medium
INT2025_02_0044,24/02/2025 10:55,hotel_04,websit_chat,NO,spa_reservation,complex
INT2025_02_0045,25/02/2025 11:30,hotel_99,instagram,EN,technical_issue,simple
INT2025_02_0046,25/02/2025 12:45,hotel_07,facebook,NO,check_in,medium
