interaction_id,handled_by,response_time_s,resolved
INT2025_09_0001,AI,5.6,TRUE
INT2025_09_0002,AI,32.4,TRUE
INT2025_09_0003,AI,8.3,TRUE
INT2025_09_0004,Human,310.8,TRUE
INT2025_09_0005,AI,6.4,TRUE
INT2025_09_0006,Ai,-1,FALSE
INT2025_09_0007,Human,190.2,TRUE
INT2025_09_0008,Human,420,TRUE
INT2025_09_0009,AI,,FALSE
INT2025_09_0010,Human,560,TRUE
INT2025_09_0011,AI,26,TRUE
INT2025_09_0013,Human,360,TRUE
INT2025_09_0015,AI,34,TRUE
INT2025_09_0016,AI,58,TRUE
INT2025_09_0019,Human,430,TRUE
INT2025_09_0020,AI,28,TRUE
INT2025_09_0023,AI,46,TRUE
INT2025_09_0024,Human,380,TRUE
INT2025_09_0027,AI,30,TRUE
INT2025_09_0029,Human,330,TRUE
INT2025_09_0031,AI,36,TRUE
INT2025_09_0032,AI,62,TRUE
INT2025_09_0035,Human,520,FALSE
INT2025_09_0036,AI,29,TRUE
INT2025_09_0038,Human,360,TRUE
INT2025_09_0040,AI,38,TRUE
INT2025_09_0041,AI,66,TRUE
INT2025_09_0044,Human,430,TRUE
INT2025_09_0045,AI,31,TRUE
INT2025_09_0047,Human,320,TRUE
INT2025_09_0049,AI,40,TRUE
INT2025_09_0050,AI,70,TRUE
INT2025_09_0053,Human,480,FALSE
INT2025_09_0054,AI,33,TRUE
INT2025_09_0056,Human,360,TRUE
INT2025_09_0058,AI,42,TRUE
INT2025_09_0059,AI,74,TRUE
INT2025_09_0062,Human,450,TRUE
INT2025_09_0063,AI,35,TRUE
INT2025_09_0065,Human,330,TRUE
INT2025_09_0067,AI,44,TRUE
INT2025_09_0068,AI,78,TRUE
INT2025_09_0071,Human,520,FALSE
INT2025_09_0072,AI,37,TRUE
INT2025_09_0074,Human,380,TRUE
INT2025_09_0076,AI,48,TRUE
INT2025_09_0077,AI,80,TRUE
INT2025_09_0080,Human,430,TRUE
INT2025_09_0081,AI,34,TRUE
INT2025_09_0083,Human,320,TRUE
INT2025_09_0085,AI,46,TRUE
INT2025_09_0086,AI,76,TRUE
INT2025_09_0089,Human,450,TRUE
INT2025_09_0090,AI,36,TRUE
INT2025_09_0092,Human,330,TRUE
INT2025_09_0094,AI,50,TRUE
INT2025_09_0095,AI,82,TRUE
INT2025_09_0098,Human,520,FALSE
INT2025_09_0099,AI,38,TRUE
INT2025_09_0101,Human,360,TRUE
INT2025_09_0103,AI,52,TRUE
INT2025_09_0104,AI,78,TRUE
INT2025_09_0107,Human,430,TRUE
INT2025_09_0108,AI,40,TRUE
INT2025_09_0110,Human,320,TRUE
INT2025_09_0112,AI,54,TRUE
INT2025_09_0113,AI,84,TRUE
INT2025_09_0116,Human,520,FALSE
INT2025_09_0117,AI,42,TRUE
INT2025_09_0119,Human,380,TRUE
INT2025_09_0121,AI,56,TRUE
INT2025_09_0122,AI,86,TRUE
INT2025_09_0125,Human,450,TRUE
INT2025_09_0126,AI,44,TRUE
INT2025_09_0128,Human,330,TRUE
INT2025_09_0130,AI,58,TRUE
INT2025_09_0131,AI,88,TRUE
INT2025_09_0134,Human,520,FALSE
INT2025_09_0135,AI,46,TRUE
INT2025_09_0137,Human,360,TRUE
INT2025_09_0139,AI,60,TRUE
INT2025_09_0140,AI,90,TRUE
INT2025_09_0142,AI,38,TRUE
INT2025_09_0144,Human,360,TRUE
INT2025_09_0146,AI,46,TRUE
INT2025_09_0147,AI,78,TRUE
INT2025_09_0150,Human,430,TRUE
INT2025_09_0151,AI,40,TRUE
INT2025_09_0153,Human,380,TRUE
INT2025_09_0155,AI,52,TRUE
INT2025_09_0156,AI,82,TRUE
INT2025_09_0159,Human,520,FALSE
INT2025_09_0160,AI,42,TRUE
INT2025_09_0162,Human,360,TRUE
INT2025_09_0164,AI,54,TRUE
INT2025_09_0165,AI,86,TRUE
INT2025_09_0168,Human,450,TRUE
INT2025_09_0169,AI,44,TRUE
INT2025_09_0171,Human,330,TRUE
INT2025_09_0173,AI,58,TRUE
INT2025_09_0174,AI,88,TRUE
INT2025_09_0177,Human,520,FALSE
INT2025_09_0178,AI,46,TRUE
INT2025_09_0180,Human,380,TRUE
INT2025_09_0182,AI,60,TRUE
INT2025_09_0183,AI,90,TRUE
INT2025_09_0186,Human,430,TRUE
INT2025_09_0187,AI,48,TRUE
INT2025_09_0189,Human,330,TRUE
INT2025_09_0191,AI,62,TRUE
INT2025_09_0192,AI,92,TRUE
INT2025_09_0195,Human,520,FALSE
INT2025_09_0196,AI,50,TRUE
INT2025_09_0198,Human,360,TRUE
INT2025_09_0200,AI,64,TRUE
INT2025_09_0201,AI,94,TRUE
INT2025_09_0204,Human,450,TRUE
INT2025_09_0205,AI,52,TRUE
INT2025_09_0207,Human,330,TRUE
INT2025_09_0209,AI,66,TRUE
INT2025_09_0210,AI,96,TRUE
INT2025_09_0213,Human,520,FALSE
INT2025_09_0214,AI,54,TRUE
INT2025_09_0216,Human,380,TRUE
INT2025_09_0218,AI,68,TRUE
INT2025_09_0219,AI,98,TRUE
INT2025_09_0222,Human,430,TRUE
INT2025_09_0223,AI,56,TRUE
INT2025_09_0225,Human,330,TRUE
INT2025_09_0227,AI,70,TRUE
INT2025_09_0228,AI,100,TRUE
INT2025_09_0231,Human,520,FALSE
INT2025_09_0232,AI,58,TRUE
INT2025_09_0234,Human,360,TRUE
INT2025_09_0236,AI,72,TRUE
INT2025_09_0237,AI,98,TRUE
INT2025_09_0240,Human,450,TRUE
INT2025_09_0241,AI,60,TRUE
INT2025_09_0243,Human,330,TRUE
INT2025_09_0245,AI,74,TRUE
INT2025_09_0246,AI,102,TRUE
INT2025_09_0249,Human,520,FALSE
INT2025_09_0250,AI,62,TRUE
INT2025_09_0252,Human,380,TRUE
INT2025_09_0254,AI,76,TRUE
INT2025_09_0255,AI,104,TRUE
INT2025_09_0258,Human,430,TRUE
INT2025_09_0259,AI,64,TRUE
INT2025_09_0261,Human,330,TRUE
INT2025_09_0263,AI,78,TRUE
INT2025_09_0264,AI,100,TRUE
INT2025_09_0267,Human,520,FALSE
INT2025_09_0268,AI,66,TRUE
INT2025_09_0270,Human,360,TRUE
INT2025_09_0272,AI,80,TRUE
INT2025_09_0273,AI,102,TRUE
INT2025_09_0276,Human,450,TRUE
INT2025_09_0277,AI,68,TRUE
INT2025_09_0279,Human,330,TRUE
INT2025_09_0281,AI,82,TRUE
INT2025_09_0282,AI,104,TRUE
INT2025_09_0285,Human,520,FALSE
INT2025_09_0287,AI,44,TRUE
INT2025_09_0289,Human,360,TRUE
INT2025_09_0291,AI,58,TRUE
INT2025_09_0292,AI,92,TRUE
INT2025_09_0295,Human,520,FALSE
INT2025_09_0296,AI,46,TRUE
INT2025_09_0298,Human,380,TRUE
INT2025_09_0300,AI,62,TRUE
INT2025_09_0301,AI,96,TRUE
INT2025_09_0304,Human,450,TRUE
INT2025_09_0305,AI,48,TRUE
INT2025_09_0307,Human,330,TRUE
INT2025_09_0309,AI,66,TRUE
INT2025_09_0310,AI,98,TRUE
INT2025_09_0313,Human,520,FALSE
INT2025_09_0314,AI,50,TRUE
INT2025_09_0316,Human,360,TRUE
INT2025_09_0318,AI,68,TRUE
INT2025_09_0319,AI,100,TRUE
INT2025_09_0322,Human,430,TRUE
INT2025_09_0323,AI,52,TRUE
INT2025_09_0325,Human,330,TRUE
INT2025_09_0327,AI,70,TRUE
INT2025_09_0328,AI,102,TRUE
INT2025_09_0331,Human,520,FALSE
INT2025_09_0332,AI,54,TRUE
INT2025_09_0334,Human,380,TRUE
INT2025_09_0336,AI,72,TRUE
INT2025_09_0337,AI,104,TRUE
INT2025_09_0340,Human,450,TRUE
INT2025_09_0341,AI,56,TRUE
INT2025_09_0343,Human,330,TRUE
INT2025_09_0345,AI,74,TRUE
INT2025_09_0346,AI,106,TRUE
INT2025_09_0349,Human,520,FALSE
INT2025_09_0350,AI,58,TRUE
INT2025_09_0352,Human,360,TRUE
INT2025_09_0354,AI,76,TRUE
INT2025_09_0355,AI,108,TRUE
INT2025_09_0358,Human,430,TRUE
INT2025_09_0359,AI,60,TRUE
INT2025_09_0361,Human,330,TRUE
INT2025_09_0363,AI,78,TRUE
INT2025_09_0364,AI,104,TRUE
INT2025_09_0367,Human,520,FALSE
INT2025_09_0368,AI,62,TRUE
INT2025_09_0370,Human,380,TRUE
INT2025_09_0372,AI,80,TRUE
INT2025_09_0373,AI,106,TRUE
INT2025_09_0376,Human,450,TRUE
INT2025_09_0377,AI,64,TRUE
INT2025_09_0379,Human,330,TRUE
INT2025_09_0381,AI,82,TRUE
INT2025_09_0382,AI,108,TRUE
INT2025_09_0385,Human,520,FALSE
INT2025_09_0386,AI,66,TRUE
INT2025_09_0388,Human,360,TRUE
INT2025_09_0390,AI,84,TRUE
INT2025_09_0391,AI,110,TRUE
INT2025_09_0394,Human,430,TRUE
INT2025_09_0395,AI,68,TRUE
INT2025_09_0397,Human,330,TRUE
INT2025_09_0399,AI,86,TRUE
INT2025_09_0400,AI,112,TRUE
INT2025_09_0403,Human,520,FALSE
INT2025_09_0404,AI,70,TRUE
INT2025_09_0406,Human,380,TRUE
INT2025_09_0408,AI,88,TRUE
INT2025_09_0409,AI,114,TRUE
INT2025_09_0412,Human,450,TRUE
INT2025_09_0413,AI,72,TRUE
INT2025_09_0415,Human,330,TRUE
INT2025_09_0417,AI,90,TRUE
INT2025_09_0418,AI,116,TRUE
INT2025_09_0420,AI,74,TRUE
INT2025_09_0422,Human,360,TRUE
INT2025_09_0424,AI,88,TRUE
INT2025_09_0425,AI,110,TRUE
INT2025_09_0428,Human,450,TRUE
INT2025_09_0429,AI,76,TRUE
INT2025_09_0431,Human,330,TRUE
INT2025_09_0433,AI,90,TRUE
INT2025_09_0434,AI,112,TRUE
INT2025_09_0437,Human,520,FALSE
INT2025_09_0438,AI,78,TRUE
INT2025_09_0440,Human,380,TRUE
INT2025_09_0442,AI,92,TRUE
INT2025_09_0443,AI,114,TRUE
INT2025_09_0446,Human,430,TRUE
INT2025_09_0447,AI,80,TRUE
INT2025_09_0449,Human,330,TRUE
INT2025_09_0451,AI,94,TRUE
INT2025_09_0452,AI,116,TRUE
INT2025_09_0455,Human,520,FALSE
INT2025_09_0456,AI,82,TRUE
INT2025_09_0458,Human,360,TRUE
INT2025_09_0460,AI,96,TRUE
INT2025_09_0461,AI,118,TRUE
INT2025_09_0464,Human,450,TRUE
INT2025_09_0465,AI,84,TRUE
INT2025_09_0467,Human,330,TRUE
INT2025_09_0469,AI,98,TRUE
INT2025_09_0470,AI,120,TRUE
INT2025_09_0473,Human,520,FALSE
INT2025_09_0474,AI,86,TRUE
INT2025_09_0476,Human,380,TRUE
INT2025_09_0478,AI,100,TRUE
INT2025_09_0479,AI,122,TRUE
INT2025_09_0482,Human,430,TRUE
INT2025_09_0483,AI,88,TRUE
INT2025_09_0485,Human,330,TRUE
INT2025_09_0487,AI,102,TRUE
INT2025_09_0488,AI,124,TRUE
INT2025_09_0491,Human,520,FALSE
INT2025_09_0492,AI,90,TRUE
INT2025_09_0494,Human,360,TRUE
INT2025_09_0496,AI,104,TRUE
INT2025_09_0497,AI,126,TRUE
INT2025_09_0500,Human,450,TRUE
INT2025_09_0501,AI,92,TRUE
INT2025_09_0503,Human,330,TRUE
INT2025_09_0505,AI,106,TRUE
INT2025_09_0506,AI,128,TRUE
INT2025_09_0509,Human,520,FALSE
INT2025_09_0510,AI,94,TRUE
INT2025_09_0512,Human,380,TRUE
INT2025_09_0514,AI,108,TRUE
INT2025_09_0515,AI,130,TRUE
INT2025_09_0518,Human,430,TRUE
INT2025_09_0519,AI,96,TRUE
INT2025_09_0521,Human,330,TRUE
INT2025_09_0523,AI,110,TRUE
INT2025_09_0524,AI,132,TRUE
INT2025_09_0527,Human,520,FALSE
INT2025_09_0528,AI,98,TRUE
INT2025_09_0530,Human,360,TRUE
INT2025_09_0532,AI,112,TRUE
INT2025_09_0533,AI,134,TRUE
