interaction_id,handled_by,response_time_s,resolved
INT2025_01_0001,AI,6.2,TRUE
INT2025_01_0002,Human,185.4,TRUE
INT2025_01_0003,AI,9.8,TRUE
INT2025_01_0004,Human,412,TRUE
INT2025_01_0005,AI,7.1,TRUE
INT2025_01_0006,Ai,-3,FALSE
INT2025_01_0007,AI,,FALSE
INT2025_01_0008,Human,58.2,TRUE
INT2025_01_0009,AI,14.5,TRUE
INT2025_01_0010,Human,720,TRUE
INT2025_01_0011,AI,18,TRUE
INT2025_01_0012,AI,22,TRUE
INT2025_01_0013,Human,240,TRUE
INT2025_01_0014,AI,15,TRUE
INT2025_01_0015,Human,360,FALSE
INT2025_01_0016,AI,12,TRUE
INT2025_01_0017,AI,45,TRUE
INT2025_01_0018,Human,480,TRUE
INT2025_01_0019,AI,9,TRUE
INT2025_01_0020,Human,300,TRUE
INT2025_01_0021,AI,20,TRUE
INT2025_01_0022,AI,35,TRUE
INT2025_01_0023,Human,420,FALSE
INT2025_01_0024,AI,14,TRUE
INT2025_01_0025,Human,510,TRUE
INT2025_01_0026,AI,18,TRUE
INT2025_01_0027,AI,27,TRUE
INT2025_01_0028,Human,390,TRUE
INT2025_01_0029,AI,11,TRUE
INT2025_01_0030,Human,600,FALSE
INT2025_01_0031,AI,16,TRUE
INT2025_01_0032,AI,,NULL
INT2025_01_0033,Human,450,TRUE
INT2025_01_0034,AI,19,TRUE
INT2025_01_0035,Human,280,TRUE
INT2025_01_0036,AI,8,TRUE
INT2025_01_0037,AI,55,TRUE
INT2025_01_0038,Human,330,TRUE
INT2025_01_0039,AI,13,TRUE
INT2025_01_0040,Human,720,FALSE
INT2025_01_0041,AI,21,TRUE
INT2025_01_0042,AI,34,TRUE
INT2025_01_0043,Human,410,TRUE
INT2025_01_0044,AI,17,TRUE
INT2025_01_0045,Human,290,TRUE
INT2025_01_0046,AI,10,TRUE
INT2025_01_0047,AI,48,TRUE
INT2025_01_0048,Human,520,FALSE
INT2025_01_0049,AI,14,TRUE
