interaction_id,timestamp,hotel_id,channel,language,request_type,complexity
INT2025_08_0001,01/08/2025 07:14,hotel_05,email,NO,info,simple
INT2025_08_0002,01/08/2025 08:27,hotel_08,website_chat,EN,booking,complex
INT2025_08_0003,02/08/2025 09:41,hotel_10,website_chat,NO,service_request,simple
INT2025_08_0004,02/08/2025 11:02,hotel_01,instagram,EN,complaint,complex
INT2025_08_0005,03/08/2025 11:35,hotel_12,email,NO,check_out,simple
INT2025_08_0006,03/08/2025 11:35,hotel_12,email,NO,check_out,simple
INT2025_08_0007,04/08/2025 13:58,hotel_03,facebook,EN,spa_reservation,complex
INT2025_08_0008,05/08/2025 15:19,hotel_09,website_chat,NO,technical_issue,complex
INT2025_08_0009,06/08/2025 16:53,hotel_06,website_chat,EN,info,simple
INT2025_08_0010,07/08/2025 19:46,hotel_99,email,NO,booking,complex
INT2025_08_0002,01/08/2025 08:29,hotel_02,website_chat,EN,booking,complex
INT2025_08_0003,02/08/2025 09:44,hotel_09,instagram,,service_request,simple
INT2025_08_0004,02/08/2025 10:59,hotel_14,facebook,NO,complaint,complex
INT2025_08_0005,03/08/2025 11:34,hotel_13,email,EN,check_out,simple
INT2025_08_0006,03/08/2025 11:34,hotel_13,email,EN,check_out,simple
INT2025_08_0007,04/08/2025 13:09,hotel_10,websit_chat,,spa_reservation,complex
INT2025_08_0008,05/08/2025 14:24,hotel_99,website_chat,NO,technical_issue,complex
INT2025_08_0009,06/08/2025 16:54,hotel_11,instagram,EN,info,simple
INT2025_08_0010,07/08/2025 18:39,hotel_12,email,,booking,complex
INT2025_08_0011,08/08/2025 08:03,hotel_04,facebook,NO,servce,simple
INT2025_08_0012,08/08/2025 09:17,hotel_08,email,EN,booking,complex
INT2025_08_0013,09/08/2025 09:49,hotel_06,website_chat,,complaint,medium
INT2025_08_0014,09/08/2025 11:02,hotel_03,websit_chat,NO,service_request,simple
INT2025_08_0015,10/08/2025 11:54,hotel_99,instagram,EN,check_in,simple
INT2025_08_0016,10/08/2025 13:13,hotel_07,email,,info,complex
INT2025_08_0017,11/08/2025 13:58,hotel_05,facebook,NO,spa_reservation,simple
INT2025_08_0018,11/08/2025 14:40,hotel_02,website_chat,EN,technical_issue,complex
INT2025_08_0019,12/08/2025 15:29,hotel_09,websit_chat,,booking,medium
INT2025_08_0020,12/08/2025 17:03,hotel_14,instagram,NO,servce,simple
INT2025_08_0021,13/08/2025 17:32,hotel_13,email,EN,complaint,complex
INT2025_08_0022,13/08/2025 08:44,hotel_10,facebook,,info,simple
INT2025_08_0023,14/08/2025 10:02,hotel_11,email,NO,check_out,medium
INT2025_08_0024,14/08/2025 11:18,hotel_400,website_chat,EN,booking,simple
INT2025_08_0025,15/08/2025 11:49,hotel_12,websit_chat,,service_request,complex
