interaction_id,handled_by,response_time_s,resolved
INT2025_10_0001,AI,5.5,yes
INT2025_10_0002,AI,31.2,yes
INT2025_10_0003,AI,8,yes
INT2025_10_0004,Human,305.9,yes
INT2025_10_0005,AI,6.3,yes
INT2025_10_0006,Ai,-1,no
INT2025_10_0007,Human,188.7,yes
INT2025_10_0008,Human,415,yes
INT2025_10_0009,AI,,no
INT2025_10_0010,Human,545,yes
INT2025_10_0011,AI,22,TRUE
INT2025_10_0013,Human,360,TRUE
INT2025_10_0015,AI,34,TRUE
INT2025_10_0016,AI,54,TRUE
INT2025_10_0019,Human,430,TRUE
INT2025_10_0020,AI,26,TRUE
INT2025_10_0023,AI,42,TRUE
INT2025_10_0024,Human,380,TRUE
INT2025_10_0027,AI,28,TRUE
INT2025_10_0029,Human,330,TRUE
INT2025_10_0031,AI,36,TRUE
INT2025_10_0032,AI,58,TRUE
INT2025_10_0035,Human,520,FALSE
INT2025_10_0036,AI,29,TRUE
INT2025_10_0038,Human,360,TRUE
INT2025_10_0040,AI,40,TRUE
INT2025_10_0041,AI,62,TRUE
INT2025_10_0044,Human,430,TRUE
INT2025_10_0045,AI,31,TRUE
INT2025_10_0047,Human,320,TRUE
INT2025_10_0049,AI,44,TRUE
INT2025_10_0050,AI,66,TRUE
INT2025_10_0053,Human,480,FALSE
INT2025_10_0054,AI,33,TRUE
INT2025_10_0056,Human,360,TRUE
INT2025_10_0058,AI,46,TRUE
INT2025_10_0059,AI,70,TRUE
INT2025_10_0062,Human,430,TRUE
INT2025_10_0063,AI,35,TRUE
INT2025_10_0065,Human,330,TRUE
INT2025_10_0067,AI,48,TRUE
INT2025_10_0068,AI,72,TRUE
INT2025_10_0071,Human,520,FALSE
INT2025_10_0072,AI,37,TRUE
INT2025_10_0074,Human,380,TRUE
INT2025_10_0076,AI,50,TRUE
INT2025_10_0077,AI,74,TRUE
INT2025_10_0080,Human,430,TRUE
INT2025_10_0081,AI,34,TRUE
INT2025_10_0083,Human,320,TRUE
INT2025_10_0085,AI,46,TRUE
INT2025_10_0086,AI,76,TRUE
INT2025_10_0089,Human,450,TRUE
INT2025_10_0090,AI,36,TRUE
INT2025_10_0092,Human,330,TRUE
INT2025_10_0094,AI,52,TRUE
INT2025_10_0095,AI,78,TRUE
INT2025_10_0098,Human,520,FALSE
INT2025_10_0099,AI,38,TRUE
INT2025_10_0101,Human,360,TRUE
INT2025_10_0103,AI,54,TRUE
INT2025_10_0104,AI,80,TRUE
INT2025_10_0107,Human,430,TRUE
INT2025_10_0108,AI,40,TRUE
INT2025_10_0110,Human,320,TRUE
INT2025_10_0112,AI,56,TRUE
INT2025_10_0113,AI,82,TRUE
INT2025_10_0116,Human,520,FALSE
INT2025_10_0117,AI,42,TRUE
INT2025_10_0119,Human,380,TRUE
INT2025_10_0121,AI,58,TRUE
INT2025_10_0122,AI,84,TRUE
INT2025_10_0125,Human,450,TRUE
INT2025_10_0126,AI,44,TRUE
INT2025_10_0128,Human,330,TRUE
INT2025_10_0130,AI,60,TRUE
INT2025_10_0131,AI,86,TRUE
INT2025_10_0134,Human,520,FALSE
INT2025_10_0135,AI,46,TRUE
INT2025_10_0137,Human,360,TRUE
INT2025_10_0139,AI,62,TRUE
INT2025_10_0140,AI,88,TRUE
INT2025_10_0143,Human,430,TRUE
INT2025_10_0144,AI,48,TRUE
INT2025_10_0145,AI,90,TRUE
INT2025_10_0147,AI,50,TRUE
INT2025_10_0149,Human,360,TRUE
INT2025_10_0151,AI,62,TRUE
INT2025_10_0152,AI,88,TRUE
INT2025_10_0155,Human,520,FALSE
INT2025_10_0156,AI,48,TRUE
INT2025_10_0158,Human,380,TRUE
INT2025_10_0160,AI,66,TRUE
INT2025_10_0161,AI,90,TRUE
INT2025_10_0164,Human,430,TRUE
INT2025_10_0165,AI,52,TRUE
INT2025_10_0167,Human,330,TRUE
INT2025_10_0169,AI,68,TRUE
INT2025_10_0170,AI,92,TRUE
INT2025_10_0173,Human,520,FALSE
INT2025_10_0174,AI,50,TRUE
INT2025_10_0176,Human,360,TRUE
INT2025_10_0178,AI,70,TRUE
INT2025_10_0179,AI,94,TRUE
INT2025_10_0182,Human,450,TRUE
INT2025_10_0183,AI,54,TRUE
INT2025_10_0185,Human,330,TRUE
INT2025_10_0187,AI,72,TRUE
INT2025_10_0188,AI,96,TRUE
INT2025_10_0191,Human,520,FALSE
INT2025_10_0192,AI,52,TRUE
INT2025_10_0194,Human,380,TRUE
INT2025_10_0196,AI,74,TRUE
INT2025_10_0197,AI,98,TRUE
INT2025_10_0200,Human,430,TRUE
INT2025_10_0201,AI,56,TRUE
INT2025_10_0203,Human,330,TRUE
INT2025_10_0205,AI,76,TRUE
INT2025_10_0206,AI,100,TRUE
INT2025_10_0209,Human,520,FALSE
INT2025_10_0210,AI,54,TRUE
INT2025_10_0212,Human,360,TRUE
INT2025_10_0214,AI,78,TRUE
INT2025_10_0215,AI,102,TRUE
INT2025_10_0218,Human,450,TRUE
INT2025_10_0219,AI,58,TRUE
INT2025_10_0221,Human,330,TRUE
INT2025_10_0223,AI,80,TRUE
INT2025_10_0224,AI,104,TRUE
INT2025_10_0227,Human,520,FALSE
INT2025_10_0228,AI,56,TRUE
INT2025_10_0230,Human,380,TRUE
INT2025_10_0232,AI,82,TRUE
INT2025_10_0233,AI,106,TRUE
INT2025_10_0236,Human,430,TRUE
INT2025_10_0237,AI,60,TRUE
INT2025_10_0239,Human,330,TRUE
INT2025_10_0241,AI,84,TRUE
INT2025_10_0242,AI,108,TRUE
INT2025_10_0245,Human,520,FALSE
INT2025_10_0246,AI,58,TRUE
INT2025_10_0248,Human,360,TRUE
INT2025_10_0250,AI,86,TRUE
INT2025_10_0251,AI,110,TRUE
INT2025_10_0254,Human,450,TRUE
INT2025_10_0255,AI,62,TRUE
INT2025_10_0257,Human,330,TRUE
INT2025_10_0259,AI,88,TRUE
INT2025_10_0260,AI,112,TRUE
INT2025_10_0263,Human,520,FALSE
INT2025_10_0264,AI,60,TRUE
INT2025_10_0266,Human,380,TRUE
INT2025_10_0268,AI,90,TRUE
INT2025_10_0269,AI,114,TRUE
INT2025_10_0272,Human,430,TRUE
INT2025_10_0273,AI,64,TRUE
INT2025_10_0275,Human,330,TRUE
INT2025_10_0277,AI,92,TRUE
INT2025_10_0278,AI,116,TRUE
INT2025_10_0281,Human,520,FALSE
INT2025_10_0282,AI,62,TRUE
INT2025_10_0284,Human,360,TRUE
INT2025_10_0286,AI,94,TRUE
INT2025_10_0287,AI,118,TRUE
INT2025_10_0288,Human,450,TRUE
INT2025_10_0290,AI,66,TRUE
INT2025_10_0292,Human,360,TRUE
INT2025_10_0294,AI,78,TRUE
INT2025_10_0295,AI,110,TRUE
INT2025_10_0298,Human,520,FALSE
INT2025_10_0299,AI,64,TRUE
INT2025_10_0301,Human,380,TRUE
INT2025_10_0303,AI,82,TRUE
INT2025_10_0304,AI,112,TRUE
INT2025_10_0307,Human,430,TRUE
INT2025_10_0308,AI,68,TRUE
INT2025_10_0310,Human,330,TRUE
INT2025_10_0312,AI,84,TRUE
INT2025_10_0313,AI,114,TRUE
INT2025_10_0316,Human,520,FALSE
INT2025_10_0317,AI,66,TRUE
INT2025_10_0319,Human,360,TRUE
INT2025_10_0321,AI,86,TRUE
INT2025_10_0322,AI,116,TRUE
INT2025_10_0325,Human,450,TRUE
INT2025_10_0326,AI,70,TRUE
INT2025_10_0328,Human,330,TRUE
INT2025_10_0330,AI,88,TRUE
INT2025_10_0331,AI,118,TRUE
INT2025_10_0334,Human,520,FALSE
INT2025_10_0335,AI,68,TRUE
INT2025_10_0337,Human,380,TRUE
INT2025_10_0339,AI,90,TRUE
INT2025_10_0340,AI,120,TRUE
INT2025_10_0343,Human,430,TRUE
INT2025_10_0344,AI,72,TRUE
INT2025_10_0346,Human,330,TRUE
INT2025_10_0348,AI,92,TRUE
