interaction_id,handled_by,response_time_s,resolved
INT2025_12_0001,AI,5.1,yes
INT2025_12_0002,AI,28.9,yes
INT2025_12_0003,AI,7.2,yes
INT2025_12_0004,Human,292.6,yes
INT2025_12_0005,AI,5.9,yes
INT2025_12_0006,Ai,-1,no
INT2025_12_0007,Human,172.4,yes
INT2025_12_0008,Human,398,yes
INT2025_12_0009,AI,,no
INT2025_12_0010,Human,520,yes
INT2025_12_0002,AI,28.4,yes
INT2025_12_0003,AI,7.8,yes
INT2025_12_0004,Human,289.5,yes
INT2025_12_0005,AI,6.2,yes
INT2025_12_0006,AI,-1,no
INT2025_12_0007,Human,167.3,yes
INT2025_12_0008,Human,398.7,yes
INT2025_12_0009,AI,,no
INT2025_12_0010,Human,512.4,yes
INT2025_12_0011,AI,8.9,yes
INT2025_12_0013,Human,234.6,yes
INT2025_12_0014,AI,12.3,yes
INT2025_12_0015,AI,7.1,yes
INT2025_12_0016,Human,178.9,yes
INT2025_12_0017,AI,9.4,yes
INT2025_12_0018,AI,4.8,yes
INT2025_12_0019,Human,301.5,yes
INT2025_12_0020,AI,11.7,yes
INT2025_12_0021,AI,8.2,yes
INT2025_12_0022,Human,256.3,no
INT2025_12_0024,AI,5.9,yes
INT2025_12_0025,AI,13.6,yes
INT2025_12_0026,Human,189.7,yes
INT2025_12_0027,AI,8.7,yes
INT2025_12_0028,AI,6.5,yes
INT2025_12_0029,Human,334.8,yes
INT2025_12_0030,AI,10.9,yes
INT2025_12_0031,AI,7.6,yes
INT2025_12_0032,AI,9.8,yes
INT2025_12_0033,Human,212.4,yes
INT2025_12_0034,AI,6.1,yes
INT2025_12_0036,AI,14.2,yes
INT2025_12_0037,Human,267.9,no
INT2025_12_0038,AI,8.9,yes
INT2025_12_0039,AI,6.7,yes
INT2025_12_0040,Human,401.2,yes
INT2025_12_0041,AI,12.1,yes
INT2025_12_0042,AI,7.8,yes
INT2025_12_0043,AI,10.2,yes
INT2025_12_0044,Human,223.7,yes
INT2025_12_0045,AI,13.1,yes
INT2025_12_0046,AI,8.4,yes
INT2025_12_0048,Human,278.6,yes
INT2025_12_0049,AI,7.2,yes
INT2025_12_0050,AI,10.7,yes
INT2025_12_0051,Human,356.4,no
INT2025_12_0052,AI,7.5,yes
INT2025_12_0053,AI,6,yes
INT2025_12_0054,AI,13.8,yes
INT2025_12_0055,Human,245.8,yes
INT2025_12_0056,AI,9.6,yes
INT2025_12_0057,AI,6.9,yes
INT2025_12_0059,Human,289.3,yes
INT2025_12_0060,AI,11.8,yes
INT2025_12_0061,AI,9.1,yes
INT2025_12_0062,Human,234.5,yes
INT2025_12_0063,AI,7.6,yes
INT2025_12_0064,AI,12.4,yes
INT2025_12_0065,AI,5.7,yes
INT2025_12_0066,Human,323.9,no
INT2025_12_0067,AI,9.9,yes
INT2025_12_0068,AI,6.5,yes
INT2025_12_0070,Human,267.4,yes
INT2025_12_0071,AI,10.5,yes
INT2025_12_0072,AI,8.7,yes
INT2025_12_0073,Human,301.8,yes
INT2025_12_0074,AI,7.3,yes
INT2025_12_0075,AI,14.1,yes
INT2025_12_0076,Human,256.7,yes
INT2025_12_0077,AI,9.7,yes
INT2025_12_0078,AI,6.3,yes
INT2025_12_0079,Human,378.6,no
INT2025_12_0081,AI,11.4,yes
INT2025_12_0082,AI,8.8,yes
INT2025_12_0083,Human,223.9,yes
INT2025_12_0084,AI,8,yes
INT2025_12_0085,AI,13.2,yes
INT2025_12_0086,Human,289.5,yes
INT2025_12_0087,AI,5.6,yes
INT2025_12_0088,AI,10.1,yes
INT2025_12_0089,Human,345.7,yes
INT2025_12_0090,AI,7,yes
INT2025_12_0092,AI,10.8,yes
INT2025_12_0093,Human,278.3,no
INT2025_12_0094,AI,8.5,yes
INT2025_12_0095,AI,7.7,yes
INT2025_12_0096,Human,412.4,yes
INT2025_12_0097,AI,12,yes
INT2025_12_0098,AI,9.3,yes
INT2025_12_0099,Human,234.8,yes
INT2025_12_0100,AI,6.6,yes
INT2025_12_0101,AI,13.5,yes
INT2025_12_0102,Human,301.6,no
INT2025_12_0104,AI,8.9,yes
INT2025_12_0105,AI,6.1,yes
INT2025_12_0106,Human,356.8,yes
INT2025_12_0107,AI,10.8,yes
INT2025_12_0108,AI,7.4,yes
INT2025_12_0109,Human,267.5,yes
INT2025_12_0110,AI,12.6,yes
INT2025_12_0111,AI,9.4,yes
INT2025_12_0112,Human,323.8,yes
INT2025_12_0113,AI,6.8,yes
INT2025_12_0115,AI,9,yes
INT2025_12_0116,Human,289.7,no
INT2025_12_0117,AI,11.7,yes
INT2025_12_0118,AI,8.1,yes
INT2025_12_0119,Human,245.9,yes
INT2025_12_0120,AI,5.9,yes
INT2025_12_0121,AI,13.9,yes
INT2025_12_0122,Human,378.4,yes
INT2025_12_0123,AI,9.7,yes
INT2025_12_0124,AI,7.1,yes
INT2025_12_0126,Human,301.9,no
INT2025_12_0127,AI,10.5,yes
INT2025_12_0128,AI,8.3,yes
INT2025_12_0129,Human,234.6,yes
INT2025_12_0130,AI,7.6,yes
INT2025_12_0131,AI,12.9,yes
INT2025_12_0132,Human,345.8,yes
INT2025_12_0133,AI,10,yes
INT2025_12_0134,AI,6.4,yes
INT2025_12_0135,Human,278.6,no
INT2025_12_0136,AI,11.3,yes
INT2025_12_0138,AI,8.6,yes
INT2025_12_0139,Human,256.8,yes
INT2025_12_0140,AI,6,yes
INT2025_12_0141,AI,14.3,yes
INT2025_12_0142,Human,323.5,yes
INT2025_12_0143,AI,7.8,yes
INT2025_12_0144,AI,10.9,yes
INT2025_12_0145,Human,289.4,no
INT2025_12_0146,AI,9.5,yes
INT2025_12_0147,AI,6.7,yes
INT2025_12_0149,Human,367.9,yes
INT2025_12_0150,AI,12.4,yes
INT2025_12_0151,AI,9.1,yes
INT2025_12_0152,Human,223.7,yes
INT2025_12_0153,AI,7.3,yes
INT2025_12_0154,AI,11.6,yes
INT2025_12_0155,Human,301.3,no
INT2025_12_0156,AI,5.8,yes
INT2025_12_0157,AI,9.8,yes
INT2025_12_0158,Human,278.9,yes
INT2025_12_0160,AI,8.4,yes
INT2025_12_0161,AI,7,yes
INT2025_12_0162,Human,345.6,yes
INT2025_12_0163,AI,13.4,yes
INT2025_12_0164,AI,11.1,yes
INT2025_12_0165,Human,256.9,no
INT2025_12_0166,AI,7.7,yes
INT2025_12_0167,AI,9.6,yes
INT2025_12_0168,Human,389.5,yes
INT2025_12_0169,AI,6.5,yes
INT2025_12_0170,AI,13,yes
INT2025_12_0172,Human,234.9,yes
INT2025_12_0173,AI,8.8,yes
INT2025_12_0174,AI,6.1,yes
INT2025_12_0175,Human,323.7,no
INT2025_12_0176,AI,11.9,yes
INT2025_12_0177,AI,8,yes
INT2025_12_0178,Human,278.4,yes
INT2025_12_0179,AI,10.1,yes
INT2025_12_0180,AI,6.6,yes
INT2025_12_0181,Human,356.7,yes
INT2025_12_0183,AI,13.7,yes
INT2025_12_0184,AI,8.9,yes
INT2025_12_0185,Human,245.6,no
INT2025_12_0186,AI,10.3,yes
INT2025_12_0187,AI,7.5,yes
INT2025_12_0188,Human,301.7,yes
INT2025_12_0189,AI,12.7,yes
INT2025_12_0190,AI,9.4,yes
INT2025_12_0191,Human,267.8,yes
INT2025_12_0192,AI,6.9,yes
INT2025_12_0194,AI,12.1,yes
INT2025_12_0195,Human,334.9,no
INT2025_12_0196,AI,8.6,yes
INT2025_12_0197,AI,5.9,yes
INT2025_12_0198,Human,289.8,yes
INT2025_12_0199,AI,11,yes
INT2025_12_0200,AI,7.8,yes
INT2025_12_0201,Human,223.8,yes
INT2025_12_0202,AI,13.8,yes
INT2025_12_0203,AI,9.7,yes
INT2025_12_0205,Human,278.7,no
INT2025_12_0206,AI,7.1,yes
INT2025_12_0207,AI,12.5,yes
INT2025_12_0208,Human,345.9,yes
INT2025_12_0209,AI,9,yes
INT2025_12_0210,AI,7.4,yes
INT2025_12_0211,Human,256.5,yes
INT2025_12_0212,AI,11.8,yes
INT2025_12_0213,AI,6,yes
INT2025_12_0214,Human,389.7,no
INT2025_12_0215,AI,9.9,yes
INT2025_12_0217,AI,6.7,yes
INT2025_12_0218,Human,301.4,yes
INT2025_12_0219,AI,10.6,yes
INT2025_12_0220,AI,8.3,yes
INT2025_12_0221,Human,234.7,yes
INT2025_12_0222,AI,13.4,yes
INT2025_12_0223,AI,8.1,yes
INT2025_12_0224,Human,323.6,no
INT2025_12_0225,AI,9.5,yes
INT2025_12_0226,AI,6.8,yes
INT2025_12_0228,Human,278.5,yes
INT2025_12_0229,AI,12.3,yes
INT2025_12_0230,AI,8.7,yes
INT2025_12_0231,Human,356.8,yes
INT2025_12_0232,AI,7.6,yes
INT2025_12_0233,AI,12,yes
INT2025_12_0234,Human,245.7,no
INT2025_12_0235,AI,6.1,yes
INT2025_12_0236,AI,10.4,yes
INT2025_12_0238,Human,301.9,yes
INT2025_12_0239,AI,9.8,yes
INT2025_12_0240,AI,7,yes
