interaction_id,timestamp,hotel_id,channel,language,request_type,complexity
INT2025_09_0001,01/09/2025 07:26,hotel_02,email,NO,info,simple
INT2025_09_0002,01/09/2025 08:41,hotel_05,website_chat,EN,booking,complex
INT2025_09_0003,02/09/2025 09:55,hotel_07,website_chat,NO,service_request,simple
INT2025_09_0004,02/09/2025 11:14,hotel_01,instagram,EN,complaint,complex
INT2025_09_0005,03/09/2025 12:02,hotel_11,email,NO,check_in,simple
INT2025_09_0006,03/09/2025 12:02,hotel_11,email,NO,check_in,simple
INT2025_09_0007,04/09/2025 14:26,hotel_04,facebook,EN,spa_reservation,complex
INT2025_09_0008,05/09/2025 15:47,hotel_09,website_chat,NO,technical_issue,complex
INT2025_09_0009,06/09/2025 17:18,hotel_06,website_chat,EN,info,simple
INT2025_09_0010,07/09/2025 19:52,hotel_99,email,NO,booking,complex
INT2025_09_0003,02/09/2025 09:56,hotel_09,instagram,,service_request,simple
INT2025_09_0004,02/09/2025 11:11,hotel_14,facebook,NO,complaint,complex
INT2025_09_0005,03/09/2025 11:46,hotel_13,email,EN,check_out,simple
INT2025_09_0006,03/09/2025 11:46,hotel_13,email,EN,check_out,simple
INT2025_09_0007,04/09/2025 13:21,hotel_10,websit_chat,,spa_reservation,complex
INT2025_09_0008,05/09/2025 14:36,hotel_99,website_chat,NO,technical_issue,complex
INT2025_09_0009,06/09/2025 17:06,hotel_11,instagram,EN,info,simple
INT2025_09_0010,07/09/2025 18:51,hotel_12,email,,booking,complex
INT2025_09_0011,08/09/2025 08:15,hotel_04,facebook,NO,servce,simple
INT2025_09_0012,08/09/2025 09:29,hotel_08,email,EN,booking,complex
INT2025_09_0013,09/09/2025 10:01,hotel_06,website_chat,,complaint,medium
INT2025_09_0014,09/09/2025 11:14,hotel_03,websit_chat,NO,service_request,simple
INT2025_09_0015,10/09/2025 12:06,hotel_99,instagram,EN,check_in,simple
INT2025_09_0016,10/09/2025 13:25,hotel_07,email,,info,complex
INT2025_09_0017,11/09/2025 14:10,hotel_05,facebook,NO,spa_reservation,simple
INT2025_09_0018,11/09/2025 14:52,hotel_02,website_chat,EN,technical_issue,complex
INT2025_09_0019,12/09/2025 15:41,hotel_09,websit_chat,,booking,medium
INT2025_09_0020,12/09/2025 17:15,hotel_14,instagram,NO,servce,simple
INT2025_09_0021,13/09/2025 17:44,hotel_13,email,EN,complaint,complex
INT2025_09_0022,13/09/2025 08:56,hotel_10,facebook,,info,simple
INT2025_09_0023,14/09/2025 10:14,hotel_11,email,NO,check_out,medium
INT2025_09_0024,14/09/2025 11:30,hotel_450,website_chat,EN,booking,simple
INT2025_09_0025,15/09/2025 12:01,hotel_12,websit_chat,,service_request,complex
INT2025_09_0026,15/09/2025 13:19,hotel_04,instagram,NO,spa_reservation,simple
INT2025_09_0027,16/09/2025 14:36,hotel_08,facebook,EN,technical_issue,medium
INT2025_09_0028,16/09/2025 15:11,hotel_06,email,,info,complex
INT2025_09_0029,17/09/2025 15:55,hotel_03,website_chat,NO,booking,simple
INT2025_09_0030,17/09/2025 16:47,hotel_07,websit_chat,EN,complaint,medium
INT2025_09_0031,18/09/2025 08:12,hotel_99,facebook,,check_in,complex
INT2025_09_0032,18/09/2025 09:30,hotel_05,email,NO,servce,simple
INT2025_09_0033,19/09/2025 09:59,hotel_02,instagram,EN,service_request,medium
INT2025_09_0034,19/09/2025 11:17,hotel_09,website_chat,,info,simple
INT2025_09_0035,20/09/2025 12:31,hotel_14,websit_chat,NO,spa_reservation,complex
INT2025_09_0036,20/09/2025 13:04,hotel_13,facebook,EN,technical_issue,simple
INT2025_09_0037,21/09/2025 14:21,hotel_10,email,,booking,medium
INT2025_09_0038,21/09/2025 15:37,hotel_11,website_chat,NO,check_out,complex
INT2025_09_0039,22/09/2025 15:50,hotel_12,websit_chat,EN,complaint,simple
INT2025_09_0040,22/09/2025 17:05,hotel_04,instagram,,info,medium
INT2025_09_0041,23/09/2025 07:54,hotel_08,facebook,NO,servce,complex
INT2025_09_0042,23/09/2025 09:10,hotel_06,email,EN,booking,simple
INT2025_09_0043,24/09/2025 10:26,hotel_03,website_chat,,service_request,medium
INT2025_09_0044,24/09/2025 11:41,hotel_99,websit_chat,NO,spa_reservation,complex
INT2025_09_0045,25/09/2025 12:15,hotel_07,instagram,EN,technical_issue,simple
INT2025_09_0046,25/09/2025 13:32,hotel_05,facebook,,check_in,medium
INT2025_09_0047,26/09/2025 14:06,hotel_02,email,NO,info,complex
INT2025_09_0048,26/09/2025 15:20,hotel_09,website_chat,EN,complaint,simple
INT2025_09_0049,27/09/2025 16:36,hotel_14,websit_chat,,booking,medium
INT2025_09_0050,27/09/2025 17:11,hotel_13,instagram,NO,check_out,complex
INT2025_09_0051,28/09/2025 07:49,hotel_10,facebook,EN,servce,simple
INT2025_09_0052,28/09/2025 09:05,hotel_11,email,,service_request,medium
INT2025_09_0053,29/09/2025 10:21,hotel_12,website_chat,NO,spa_reservation,complex
INT2025_09_0054,29/09/2025 11:36,hotel_04,websit_chat,EN,technical_issue,simple
INT2025_09_0055,30/09/2025 12:11,hotel_08,instagram,,info,medium
INT2025_09_0056,30/09/2025 13:26,hotel_06,facebook,NO,booking,complex
INT2025_09_0057,01/09/2025 14:41,hotel_03,email,EN,check_in,simple
INT2025_09_0058,01/09/2025 15:16,hotel_99,website_chat,,complaint,medium
INT2025_09_0059,02/09/2025 16:01,hotel_07,websit_chat,NO,servce,complex
INT2025_09_0060,02/09/2025 16:46,hotel_05,instagram,EN,service_request,simple
INT2025_09_0061,03/09/2025 08:05,hotel_02,facebook,,spa_reservation,medium
INT2025_09_0062,03/09/2025 09:21,hotel_09,email,NO,technical_issue,complex
INT2025_09_0063,04/09/2025 10:36,hotel_14,website_chat,EN,info,simple
INT2025_09_0064,04/09/2025 11:11,hotel_13,websit_chat,,booking,medium
INT2025_09_0065,05/09/2025 12:26,hotel_10,instagram,NO,check_out,complex
INT2025_09_0066,05/09/2025 13:41,hotel_11,facebook,EN,complaint,simple
INT2025_09_0067,06/09/2025 14:16,hotel_12,email,,servce,medium
INT2025_09_0068,06/09/2025 15:31,hotel_04,website_chat,NO,check_in,complex
INT2025_09_0069,07/09/2025 16:06,hotel_08,websit_chat,EN,service_request,simple
INT2025_09_0070,07/09/2025 17:21,hotel_06,instagram,,spa_reservation,medium
INT2025_09_0071,08/09/2025 08:00,hotel_450,facebook,NO,technical_issue,complex
INT2025_09_0072,08/09/2025 09:16,hotel_99,email,EN,info,simple
INT2025_09_0073,09/09/2025 10:31,hotel_07,website_chat,,booking,medium
INT2025_09_0074,09/09/2025 11:06,hotel_05,websit_chat,NO,complaint,complex
INT2025_09_0075,10/09/2025 12:21,hotel_02,instagram,EN,check_out,simple
INT2025_09_0076,10/09/2025 13:36,hotel_09,facebook,,servce,medium
INT2025_09_0077,11/09/2025 14:11,hotel_14,email,NO,service_request,complex
INT2025_09_0078,11/09/2025 15:26,hotel_13,website_chat,EN,spa_reservation,simple
INT2025_09_0079,12/09/2025 16:41,hotel_10,websit_chat,,technical_issue,medium
INT2025_09_0080,12/09/2025 17:16,hotel_11,instagram,NO,check_in,complex
INT2025_09_0081,13/09/2025 07:51,hotel_12,facebook,EN,info,simple
INT2025_09_0082,13/09/2025 09:06,hotel_04,email,,booking,medium
INT2025_09_0083,14/09/2025 10:21,hotel_08,website_chat,NO,complaint,complex
INT2025_09_0084,14/09/2025 11:36,hotel_06,websit_chat,EN,check_out,simple
INT2025_09_0085,15/09/2025 12:11,hotel_03,instagram,,servce,medium
INT2025_09_0086,15/09/2025 13:26,hotel_99,facebook,NO,service_request,complex
INT2025_09_0087,16/09/2025 14:41,hotel_07,email,EN,spa_reservation,simple
INT2025_09_0088,16/09/2025 15:16,hotel_05,website_chat,,technical_issue,medium
INT2025_09_0089,17/09/2025 16:01,hotel_02,websit_chat,NO,info,complex
INT2025_09_0090,17/09/2025 16:46,hotel_09,instagram,EN,check_in,simple
INT2025_09_0091,18/09/2025 08:05,hotel_14,facebook,,booking,medium
INT2025_09_0092,18/09/2025 09:21,hotel_13,email,NO,complaint,complex
INT2025_09_0093,19/09/2025 10:36,hotel_10,website_chat,EN,servce,simple
INT2025_09_0094,19/09/2025 11:11,hotel_11,websit_chat,,service_request,medium
INT2025_09_0095,20/09/2025 12:26,hotel_12,instagram,NO,spa_reservation,complex
INT2025_09_0096,20/09/2025 13:41,hotel_04,facebook,EN,technical_issue,simple
INT2025_09_0097,21/09/2025 14:16,hotel_08,email,,check_out,medium
INT2025_09_0098,21/09/2025 15:31,hotel_450,website_chat,NO,info,complex
INT2025_09_0099,22/09/2025 16:06,hotel_06,websit_chat,EN,booking,simple
INT2025_09_0100,22/09/2025 17:21,hotel_03,instagram,,complaint,medium
INT2025_09_0101,23/09/2025 08:00,hotel_99,facebook,NO,check_in,complex
INT2025_09_0102,23/09/2025 09:16,hotel_07,email,EN,servce,simple
INT2025_09_0103,24/09/2025 10:31,hotel_05,website_chat,,service_request,medium
INT2025_09_0104,24/09/2025 11:06,hotel_02,websit_chat,NO,spa_reservation,complex
INT2025_09_0105,25/09/2025 12:21,hotel_09,instagram,EN,technical_issue,simple
INT2025_09_0106,25/09/2025 13:36,hotel_14,facebook,,info,medium
INT2025_09_0107,26/09/2025 14:11,hotel_13,email,NO,booking,complex
INT2025_09_0108,26/09/2025 15:26,hotel_10,website_chat,EN,check_out,simple
INT2025_09_0109,27/09/2025 16:41,hotel_11,websit_chat,,complaint,medium
INT2025_09_0110,27/09/2025 17:16,hotel_12,instagram,NO,servce,complex
