interaction_id,handled_by,response_time_s,resolved
INT2025_08_0001,AI,5.3,TRUE
INT2025_08_0002,AI,30.5,TRUE
INT2025_08_0003,AI,7.8,TRUE
INT2025_08_0004,Human,298.7,TRUE
INT2025_08_0005,AI,6.2,TRUE
INT2025_08_0006,Ai,-1,FALSE
INT2025_08_0007,Human,182.1,TRUE
INT2025_08_0008,Human,395,TRUE
INT2025_08_0009,AI,,FALSE
INT2025_08_0010,Human,540,TRUE
INT2025_08_0011,AI,24,TRUE
INT2025_08_0013,Human,360,TRUE
INT2025_08_0015,AI,28,TRUE
INT2025_08_0016,AI,52,TRUE
INT2025_08_0019,Human,480,FALSE
INT2025_08_0020,AI,26,TRUE
INT2025_08_0023,AI,45,TRUE
INT2025_08_0024,Human,420,TRUE
INT2025_08_0027,AI,22,TRUE
INT2025_08_0029,Human,340,TRUE
INT2025_08_0031,AI,30,TRUE
INT2025_08_0032,AI,58,TRUE
INT2025_08_0035,Human,520,FALSE
INT2025_08_0036,AI,25,TRUE
INT2025_08_0038,Human,380,TRUE
INT2025_08_0040,AI,34,TRUE
INT2025_08_0041,AI,60,TRUE
INT2025_08_0044,Human,450,TRUE
INT2025_08_0045,AI,27,TRUE
INT2025_08_0047,Human,330,TRUE
INT2025_08_0049,AI,32,TRUE
INT2025_08_0050,AI,62,TRUE
INT2025_08_0053,Human,480,FALSE
INT2025_08_0054,AI,24,TRUE
INT2025_08_0056,Human,320,TRUE
INT2025_08_0058,AI,36,TRUE
INT2025_08_0059,AI,65,TRUE
INT2025_08_0062,Human,520,FALSE
INT2025_08_0063,AI,28,TRUE
INT2025_08_0065,Human,360,TRUE
INT2025_08_0067,AI,33,TRUE
INT2025_08_0068,AI,56,TRUE
INT2025_08_0071,Human,430,TRUE
INT2025_08_0072,AI,26,TRUE
INT2025_08_0074,Human,300,TRUE
INT2025_08_0076,AI,40,TRUE
INT2025_08_0077,AI,68,TRUE
INT2025_08_0080,Human,520,FALSE
INT2025_08_0081,AI,29,TRUE
INT2025_08_0083,Human,380,TRUE
INT2025_08_0085,AI,35,TRUE
INT2025_08_0086,AI,64,TRUE
INT2025_08_0089,Human,450,TRUE
INT2025_08_0090,AI,27,TRUE
INT2025_08_0092,Human,320,TRUE
INT2025_08_0094,AI,42,TRUE
INT2025_08_0095,AI,70,TRUE
INT2025_08_0098,Human,520,FALSE
INT2025_08_0099,AI,30,TRUE
INT2025_08_0101,Human,360,TRUE
INT2025_08_0103,AI,38,TRUE
INT2025_08_0104,AI,66,TRUE
INT2025_08_0107,Human,430,TRUE
INT2025_08_0108,AI,28,TRUE
INT2025_08_0110,Human,330,TRUE
INT2025_08_0112,AI,44,TRUE
INT2025_08_0113,AI,72,TRUE
INT2025_08_0116,Human,520,FALSE
INT2025_08_0117,AI,31,TRUE
INT2025_08_0119,Human,380,TRUE
INT2025_08_0121,AI,39,TRUE
INT2025_08_0122,AI,68,TRUE
INT2025_08_0125,Human,450,TRUE
INT2025_08_0126,AI,29,TRUE
INT2025_08_0128,Human,320,TRUE
INT2025_08_0130,AI,46,TRUE
INT2025_08_0131,AI,74,TRUE
INT2025_08_0134,Human,520,FALSE
INT2025_08_0135,AI,32,TRUE
INT2025_08_0137,Human,360,TRUE
INT2025_08_0139,AI,40,TRUE
INT2025_08_0140,AI,76,TRUE
INT2025_08_0142,AI,30,TRUE
INT2025_08_0144,Human,380,TRUE
INT2025_08_0146,AI,36,TRUE
INT2025_08_0147,AI,68,TRUE
INT2025_08_0150,Human,520,FALSE
INT2025_08_0151,AI,28,TRUE
INT2025_08_0153,Human,360,TRUE
INT2025_08_0155,AI,42,TRUE
INT2025_08_0156,AI,72,TRUE
INT2025_08_0159,Human,450,TRUE
INT2025_08_0160,AI,31,TRUE
INT2025_08_0162,Human,330,TRUE
INT2025_08_0164,AI,38,TRUE
INT2025_08_0165,AI,70,TRUE
INT2025_08_0168,Human,520,FALSE
INT2025_08_0169,AI,29,TRUE
INT2025_08_0171,Human,380,TRUE
INT2025_08_0173,AI,44,TRUE
INT2025_08_0174,AI,76,TRUE
INT2025_08_0177,Human,430,TRUE
