interaction_id,timestamp,hotel_id,channel,language,request_type,complexity
INT2025_07_0001,01/07/2025 07:02,hotel_04,email,NO,info,simple
INT2025_07_0002,01/07/2025 08:16,hotel_08,website_chat,EN,booking,complex
INT2025_07_0003,02/07/2025 09:33,hotel_10,website_chat,NO,service_request,simple
INT2025_07_0004,02/07/2025 10:58,hotel_01,instagram,EN,complaint,complex
INT2025_07_0005,03/07/2025 11:26,hotel_12,email,NO,check_in,simple
INT2025_07_0006,03/07/2025 11:26,hotel_12,email,NO,check_in,simple
INT2025_07_0007,04/07/2025 13:49,hotel_03,facebook,EN,spa_reservation,complex
INT2025_07_0008,05/07/2025 15:12,hotel_09,website_chat,NO,technical_issue,complex
INT2025_07_0009,06/07/2025 16:44,hotel_06,website_chat,EN,info,simple
INT2025_07_0010,07/07/2025 19:31,hotel_99,email,NO,booking,complex
INT2025_07_0003,02/07/2025 09:28,hotel_12,instagram,NO,service_request,simple
INT2025_07_0004,02/07/2025 10:42,hotel_06,facebook,EN,complaint,complex
INT2025_07_0005,03/07/2025 11:56,hotel_03,email,,check_out,simple
INT2025_07_0006,03/07/2025 11:56,hotel_03,email,NO,check_out,simple
INT2025_07_0007,04/07/2025 13:31,hotel_11,websit_chat,EN,spa_reservation,complex
INT2025_07_0008,05/07/2025 14:17,hotel_99,website_chat,NO,technical_issue,complex
INT2025_07_0009,06/07/2025 16:48,hotel_07,instagram,,info,simple
INT2025_07_0010,07/07/2025 18:32,hotel_05,email,EN,booking,complex
INT2025_07_0011,08/07/2025 07:56,hotel_02,facebook,NO,servce,simple
INT2025_07_0012,08/07/2025 09:10,hotel_09,email,EN,booking,complex
INT2025_07_0013,09/07/2025 09:42,hotel_14,website_chat,,complaint,medium
INT2025_07_0014,09/07/2025 10:55,hotel_13,websit_chat,NO,service_request,simple
INT2025_07_0015,10/07/2025 11:47,hotel_99,instagram,EN,check_in,simple
INT2025_07_0016,10/07/2025 13:06,hotel_10,email,,info,complex
INT2025_07_0017,11/07/2025 13:51,hotel_04,facebook,NO,spa_reservation,simple
INT2025_07_0018,11/07/2025 14:33,hotel_08,website_chat,EN,technical_issue,complex
