interaction_id,timestamp,hotel_id,channel,language,request_type,complexity
INT2025_01_0001,03/01/2025 08:12,hotel_01,website_chat,NO,info,simple
INT2025_01_0002,03/01/2025 08:25,hotel_01,email,EN,booking,complex
INT2025_01_0003,04/01/2025 09:02,hotel_03,facebook,NO,service_request,simple
INT2025_01_0004,04/01/2025 10:45,hotel_07,instagram,EN,complaint,complex
INT2025_01_0005,05/01/2025 11:10,hotel_02,email,NO,check_in,simple
INT2025_01_0006,05/01/2025 11:10,hotel_02,email,NO,check_in,simple
INT2025_01_0007,06/01/2025 14:22,hotel_99,website_chat,NO,servce,simple
INT2025_01_0008,06/01/2025 15:40,hotel_05,websit_chat,EN,info,simple
INT2025_01_0009,07/01/2025 16:05,hotel_04,website_chat,,spa_reservation,complex
INT2025_01_0010,08/01/2025 17:55,hotel_06,email,NO,technical_issue,complex
INT2025_01_0011,09/01/2025 08:15,hotel_03,website_chat,NO,info,simple
INT2025_01_0012,09/01/2025 09:30,hotel_12,email,EN,booking,complex
INT2025_01_0013,10/01/2025 10:45,hotel_08,facebook,NO,complaint,medium
INT2025_01_0014,10/01/2025 11:20,hotel_05,instagram,EN,service_request,simple
INT2025_01_0015,11/01/2025 12:05,hotel_99,website_chat,NO,check_in,simple
INT2025_01_0016,11/01/2025 13:40,hotel_07,email,NO,info,complex
INT2025_01_0017,12/01/2025 14:25,hotel_02,websit_chat,EN,spa_reservation,simple
INT2025_01_0018,12/01/2025 15:10,hotel_14,facebook,,technical_issue,complex
INT2025_01_0019,13/01/2025 16:55,hotel_06,email,NO,booking,medium
INT2025_01_0020,13/01/2025 17:30,hotel_11,website_chat,EN,info,simple
INT2025_01_0021,14/01/2025 08:00,hotel_04,instagram,NO,servce,complex
INT2025_01_0022,14/01/2025 09:15,hotel_09,email,EN,complaint,simple
INT2025_01_0023,15/01/2025 10:30,hotel_03,facebook,NO,check_in,medium
INT2025_01_0024,15/01/2025 11:45,hotel_150,website_chat,EN,info,simple
INT2025_01_0025,16/01/2025 12:20,hotel_07,email,,booking,complex
INT2025_01_0026,16/01/2025 13:35,hotel_05,websit_chat,NO,service_request,simple
INT2025_01_0027,17/01/2025 14:50,hotel_12,instagram,EN,spa_reservation,medium
INT2025_01_0028,17/01/2025 15:25,hotel_08,facebook,NO,technical_issue,complex
INT2025_01_0029,18/01/2025 16:10,hotel_02,email,EN,info,simple
INT2025_01_0030,18/01/2025 17:00,hotel_06,website_chat,NO,booking,medium
INT2025_01_0031,19/01/2025 08:30,hotel_99,instagram,EN,complaint,complex
INT2025_01_0032,19/01/2025 09:45,hotel_10,email,NO,check_in,simple
INT2025_01_0033,20/01/2025 10:15,hotel_04,facebook,,servce,medium
INT2025_01_0034,20/01/2025 11:30,hotel_13,website_chat,EN,info,simple
INT2025_01_0035,21/01/2025 12:45,hotel_07,email,NO,spa_reservation,complex
INT2025_01_0036,21/01/2025 13:20,hotel_05,websit_chat,EN,technical_issue,simple
INT2025_01_0037,22/01/2025 14:35,hotel_11,instagram,NO,booking,medium
INT2025_01_0038,22/01/2025 15:50,hotel_03,facebook,EN,service_request,complex
INT2025_01_0039,23/01/2025 16:05,hotel_09,email,NO,info,simple
INT2025_01_0040,23/01/2025 17:20,hotel_06,website_chat,EN,check_in,medium
INT2025_01_0041,24/01/2025 08:10,hotel_02,instagram,NO,complaint,complex
INT2025_01_0042,24/01/2025 09:25,hotel_08,email,,booking,simple
INT2025_01_0043,25/01/2025 10:40,hotel_12,facebook,EN,servce,medium
INT2025_01_0044,25/01/2025 11:55,hotel_04,websit_chat,NO,spa_reservation,complex
INT2025_01_0045,26/01/2025 12:30,hotel_99,website_chat,EN,technical_issue,simple
INT2025_01_0046,26/01/2025 13:45,hotel_07,instagram,NO,info,medium
INT2025_01_0047,27/01/2025 14:20,hotel_05,email,EN,booking,complex
INT2025_01_0048,27/01/2025 15:35,hotel_10,facebook,NO,service_request,simple
INT2025_01_0049,28/01/2025 16:50,hotel_03,website_chat,,check_in,medium
INT2025_01_0050,28/01/2025 17:25,hotel_13,email,EN,complaint,complex
INT2025_01_0051,29/01/2025 08:05,hotel_06,instagram,NO,info,simple
INT2025_01_0052,29/01/2025 09:20,hotel_11,websit_chat,EN,spa_reservation,medium
INT2025_01_0053,30/01/2025 10:35,hotel_09,facebook,NO,technical_issue,complex
INT2025_01_0054,30/01/2025 11:50,hotel_02,email,EN,booking,simple
INT2025_01_0055,31/01/2025 12:25,hotel_08,website_chat,NO,servce,medium
INT2025_01_0056,31/01/2025 13:40,hotel_12,instagram,,service_request,complex
INT2025_01_0057,03/01/2025 14:55,hotel_04,facebook,EN,check_in,simple
INT2025_01_0058,04/01/2025 15:30,hotel_07,email,NO,info,medium
INT2025_01_0059,05/01/2025 16:15,hotel_05,websit_chat,EN,complaint,complex
INT2025_01_0060,06/01/2025 17:00,hotel_99,website_chat,NO,booking,simple
INT2025_01_0061,07/01/2025 08:20,hotel_10,instagram,EN,spa_reservation,medium
INT2025_01_0062,08/01/2025 09:35,hotel_03,email,NO,technical_issue,complex
INT2025_01_0063,09/01/2025 10:50,hotel_13,facebook,,info,simple
INT2025_01_0064,10/01/2025 11:25,hotel_06,website_chat,EN,servce,medium
INT2025_01_0065,11/01/2025 12:40,hotel_11,websit_chat,NO,check_in,complex
INT2025_01_0066,12/01/2025 13:55,hotel_09,instagram,EN,booking,simple
INT2025_01_0067,13/01/2025 14:30,hotel_02,email,NO,service_request,medium
INT2025_01_0068,14/01/2025 15:45,hotel_08,facebook,EN,complaint,complex
INT2025_01_0069,15/01/2025 16:20,hotel_12,website_chat,NO,info,simple
INT2025_01_0070,16/01/2025 17:05,hotel_04,instagram,,spa_reservation,medium
INT2025_01_0071,17/01/2025 08:15,hotel_150,email,EN,technical_issue,complex
INT2025_01_0072,18/01/2025 09:30,hotel_05,websit_chat,NO,booking,simple
INT2025_01_0073,19/01/2025 10:45,hotel_07,facebook,EN,check_in,medium
INT2025_01_0074,20/01/2025 11:20,hotel_99,website_chat,NO,servce,complex
INT2025_01_0075,21/01/2025 12:35,hotel_10,instagram,EN,info,simple
INT2025_01_0076,22/01/2025 13:50,hotel_03,email,,service_request,medium
INT2025_01_0077,23/01/2025 14:25,hotel_13,facebook,NO,complaint,complex
INT2025_01_0078,24/01/2025 15:40,hotel_06,websit_chat,EN,spa_reservation,simple
INT2025_01_0079,25/01/2025 16:55,hotel_11,website_chat,NO,technical_issue,medium
INT2025_01_0080,26/01/2025 17:30,hotel_09,instagram,EN,booking,complex
INT2025_01_0081,27/01/2025 08:05,hotel_02,email,NO,info,simple
INT2025_01_0082,28/01/2025 09:20,hotel_08,facebook,EN,check_in,medium
INT2025_01_0083,29/01/2025 10:35,hotel_12,website_chat,,servce,complex
INT2025_01_0084,30/01/2025 11:50,hotel_04,websit_chat,NO,service_request,simple
INT2025_01_0085,31/01/2025 12:25,hotel_07,instagram,EN,complaint,medium
INT2025_01_0086,03/01/2025 13:40,hotel_05,email,NO,booking,complex
INT2025_01_0087,04/01/2025 14:55,hotel_99,facebook,EN,spa_reservation,simple
INT2025_01_0088,05/01/2025 15:30,hotel_10,website_chat,NO,technical_issue,medium
